i,x_i,w_i
1,-2.651961357,9.72E-04
2,-1.673551629,0.054515583
3,-0.816287883,0.425607253
4,0,0.810264618
5,0.816287883,0.425607253
6,1.673551629,0.054515583
7,2.651961357,9.72E-04
