i,x_i,w_i
1,-4.499990707,1.52E-09
2,-3.669950373,1.06E-06
3,-2.967166928,1.00E-04
4,-2.325732486,0.002778069
5,-1.719992575,0.030780034
6,-1.136115585,0.158488916
7,-0.565069583,0.412028687
8,0,0.564100309
9,0.565069583,0.412028687
10,1.136115585,0.158488916
11,1.719992575,0.030780034
12,2.325732486,0.002778069
13,2.967166928,1.00E-04
14,3.669950373,1.06E-06
15,4.499990707,1.52E-09
