"w_i","x_i","y_i"
1.79880740965719,-6.36394788882984,-6.36394788882984
1.41991199452682,-5.19009359130478,-6.36394788882984
1.2635423373312,-4.19620771126902,-6.36394788882984
1.17723430907621,-3.28908242439876,-6.36394788882984
1.1248176644108,-2.43243682700976,-6.36394788882984
1.09288778921214,-1.60671006902873,-6.36394788882984
1.07549053546327,-0.799129068324548,-6.36394788882984
1.06995045846081,-2.31714553325201e-16,-6.36394788882984
1.07549053546327,0.799129068324548,-6.36394788882984
1.09288778921214,1.60671006902873,-6.36394788882984
1.12481766441079,2.43243682700976,-6.36394788882984
1.17723430907623,3.28908242439877,-6.36394788882984
1.2635423373312,4.19620771126902,-6.36394788882984
1.41991199452682,5.19009359130478,-6.36394788882984
1.79880740965718,6.36394788882983,-6.36394788882984
1.41991199452682,-6.36394788882984,-5.19009359130478
1.12082597690954,-5.19009359130478,-5.19009359130478
0.997393556829375,-4.19620771126902,-5.19009359130478
0.929265193623129,-3.28908242439876,-5.19009359130478
0.887889434287417,-2.43243682700976,-5.19009359130478
0.862685172544374,-1.60671006902873,-5.19009359130478
0.848952424315058,-0.799129068324548,-5.19009359130478
0.844579292570013,-2.31714553325201e-16,-5.19009359130478
0.848952424315058,0.799129068324548,-5.19009359130478
0.862685172544375,1.60671006902873,-5.19009359130478
0.887889434287411,2.43243682700976,-5.19009359130478
0.929265193623138,3.28908242439877,-5.19009359130478
0.997393556829375,4.19620771126902,-5.19009359130478
1.12082597690954,5.19009359130478,-5.19009359130478
1.41991199452681,6.36394788882983,-5.19009359130478
1.2635423373312,-6.36394788882984,-4.19620771126902
0.997393556829375,-5.19009359130478,-4.19620771126902
0.887554292725893,-4.19620771126902,-4.19620771126902
0.826928654224364,-3.28908242439876,-4.19620771126902
0.790109454258861,-2.43243682700976,-4.19620771126902
0.767680844657514,-1.60671006902873,-4.19620771126902
0.755460433207695,-0.799129068324548,-4.19620771126902
0.751568898290116,-2.31714553325201e-16,-4.19620771126902
0.755460433207695,0.799129068324548,-4.19620771126902
0.767680844657515,1.60671006902873,-4.19620771126902
0.790109454258855,2.43243682700976,-4.19620771126902
0.826928654224372,3.28908242439877,-4.19620771126902
0.887554292725893,4.19620771126902,-4.19620771126902
0.997393556829375,5.19009359130478,-4.19620771126902
1.26354233733119,6.36394788882983,-4.19620771126902
1.17723430907621,-6.36394788882984,-3.28908242439876
0.929265193623129,-5.19009359130478,-3.28908242439876
0.826928654224364,-4.19620771126902,-3.28908242439876
0.770444134833903,-3.28908242439876,-3.28908242439876
0.736139921867301,-2.43243682700976,-3.28908242439876
0.715243329843839,-1.60671006902873,-3.28908242439876
0.703857650706137,-0.799129068324548,-3.28908242439876
0.70023193252908,-2.31714553325201e-16,-3.28908242439876
0.703857650706137,0.799129068324548,-3.28908242439876
0.71524332984384,1.60671006902873,-3.28908242439876
0.736139921867295,2.43243682700976,-3.28908242439876
0.77044413483391,3.28908242439877,-3.28908242439876
0.826928654224364,4.19620771126902,-3.28908242439876
0.929265193623129,5.19009359130478,-3.28908242439876
1.17723430907621,6.36394788882983,-3.28908242439876
1.1248176644108,-6.36394788882984,-2.43243682700976
0.887889434287417,-5.19009359130478,-2.43243682700976
0.790109454258861,-4.19620771126902,-2.43243682700976
